	userid	topic_num	query	docno	url	query_index	click_index	usefulness_annotation
1258	21	7	戒烟	196	http://www.jieyanri.com/	0	0	4
1259	21	7	戒烟	198	http://www.pcbaby.com.cn/qzbd/bjys/1202/1090317.html	0	1	4
1260	12	7	戒烟	196	http://www.jieyanri.com/	0	0	4
1261	12	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	1	2
1262	12	7	戒烟	202	http://jiankang.cntv.cn/yeekang/jieyan/index.shtml	0	2	1
1263	12	7	戒烟	204	http://health.msn.com.cn/tag/7304.shtml	0	3	3
1264	12	7	有效戒烟	16678	http://www.xuefo.net/nr/article1/6010.html	1	0	3
1265	12	7	戒烟 好处	8285	http://www.cndzys.com/renqun/nanxing/236443.html	2	0	2
1266	12	7	戒烟 好处	8286	http://wendatw.com/%e6%88%92%e7%85%99%e5%a5%bd%e8%99%95.htm	2	1	1
1267	12	7	戒烟 好处	8287	http://bjcs.vivijk.com/zt/jieyan/	2	2	3
1268	12	7	戒烟 坏处	5656	http://www.qq2010.cn/qq8613cc854766.html	3	0	3
1269	12	7	戒烟 坏处	5658	http://blog.1688.com/article/i14037514.html	3	1	3
1270	9	7	戒烟	196	http://www.jieyanri.com/	0	0	4
1271	9	7	戒烟	198	http://www.pcbaby.com.cn/qzbd/bjys/1202/1090317.html	0	1	4
1272	9	7	戒烟	203	http://bjcs.vivijk.com/zt/jieyan/	0	2	3
1273	9	7	戒烟	203	http://bjcs.vivijk.com/zt/jieyan/	0	3	3
1274	9	7	吸烟 危害	17667	http://www.pclady.com.cn/tlist/18113.html	2	0	2
1275	9	7	吸烟 危害	17668	http://zuowen.juren.com/news/201305/406676.html	2	1	3
1276	9	7	吸烟 危害	17670	http://news.xinhuanet.com/health/2007-05/29/content_6167267.htm	2	2	4
1277	9	7	吸烟 危害	17674	http://www.baike.com/wiki/%E5%90%B8%E7%83%9F%E5%8D%B1%E5%AE%B3	2	3	2
1278	9	7	吸烟 危害	17678	http://www.zhong-yao.net/Article/5783.html	2	4	2
1279	17	7	戒烟	198	http://www.pcbaby.com.cn/qzbd/bjys/1202/1090317.html	0	0	4
1280	17	7	戒烟	202	http://jiankang.cntv.cn/yeekang/jieyan/index.shtml	0	1	3
1281	15	7	戒烟	198	http://www.pcbaby.com.cn/qzbd/bjys/1202/1090317.html	0	0	4
1282	25	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	0	4
1283	25	7	戒烟	200	http://movie.douban.com/subject/1470734/	0	1	1
1284	25	7	戒烟	203	http://bjcs.vivijk.com/zt/jieyan/	0	2	4
1285	25	7	戒烟的副作用	4385	http://www.ew9z.com/jieyandefuzuoyong.html	1	0	4
1286	6	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	0	1
1287	6	7	戒烟	200	http://movie.douban.com/subject/1470734/	0	1	1
1288	6	7	戒烟	203	http://bjcs.vivijk.com/zt/jieyan/	0	2	4
1289	6	7	戒烟 副作用	8339	http://news.163.com/14/0106/09/9HT5H1LN00014Q4P.html	1	0	3
1290	10	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	0	3
1291	10	7	戒烟	203	http://bjcs.vivijk.com/zt/jieyan/	0	1	3
1292	10	7	戒烟的副作用	4385	http://www.ew9z.com/jieyandefuzuoyong.html	1	0	4
1293	14	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	0	1
1294	14	7	戒烟 好处	8285	http://www.cndzys.com/renqun/nanxing/236443.html	1	0	1
1295	14	7	戒烟的副作用	4385	http://www.ew9z.com/jieyandefuzuoyong.html	3	0	4
1296	18	7	戒烟	196	http://www.jieyanri.com/	0	0	2
1297	18	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	1	3
1298	18	7	戒烟	200	http://movie.douban.com/subject/1470734/	0	2	1
1299	18	7	戒烟 好处	8285	http://www.cndzys.com/renqun/nanxing/236443.html	1	0	4
1300	18	7	戒烟本身的副作用	12285	http://www.ew9z.com/jieyandefuzuoyong.html	3	0	4
1301	2	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	0	3
1302	2	7	戒烟	200	http://movie.douban.com/subject/1470734/	0	1	1
1303	2	7	戒烟好处	1895	http://www.zs-hospital.sh.cn/kyw/jy/1.htm	1	0	3
1304	2	7	戒烟好处	1902	http://blog.1688.com/article/i23205702.html	1	1	3
1305	24	7	戒烟	196	http://www.jieyanri.com/	0	0	2
1306	24	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	1	3
1307	24	7	戒烟	198	http://www.pcbaby.com.cn/qzbd/bjys/1202/1090317.html	0	2	4
1308	24	7	戒烟	200	http://movie.douban.com/subject/1470734/	0	3	1
1309	24	7	戒烟	203	http://bjcs.vivijk.com/zt/jieyan/	0	4	2
1310	24	7	戒烟	209	http://health.sohu.com/20100926/n275270832.shtml	0	5	3
1311	24	7	戒烟	213	http://www.haodf.com/zhuanjiaguandian/baoh123_35716.htm	0	6	2
1312	24	7	戒烟 副作用	8317	http://www.ew9z.com/jieyandefuzuoyong.html	1	0	4
1313	11	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	0	3
1314	11	7	戒烟	198	http://www.pcbaby.com.cn/qzbd/bjys/1202/1090317.html	0	1	4
1315	11	7	戒烟	200	http://movie.douban.com/subject/1470734/	0	2	1
1316	11	7	戒烟	203	http://bjcs.vivijk.com/zt/jieyan/	0	3	4
1317	11	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	4	2
1318	11	7	戒烟	198	http://www.pcbaby.com.cn/qzbd/bjys/1202/1090317.html	0	5	3
1319	20	7	戒烟	196	http://www.jieyanri.com/	0	0	4
1320	20	7	戒烟的副作用	4385	http://www.ew9z.com/jieyandefuzuoyong.html	1	0	4
1321	1	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	0	3
1322	1	7	戒烟	198	http://www.pcbaby.com.cn/qzbd/bjys/1202/1090317.html	0	1	4
1323	1	7	戒烟	203	http://bjcs.vivijk.com/zt/jieyan/	0	2	3
1324	4	7	戒烟	196	http://www.jieyanri.com/	0	0	1
1325	4	7	戒烟	203	http://bjcs.vivijk.com/zt/jieyan/	0	1	2
1326	4	7	戒烟 副作用	8317	http://www.ew9z.com/jieyandefuzuoyong.html	1	0	4
1327	4	7	戒烟 好处	8285	http://www.cndzys.com/renqun/nanxing/236443.html	2	0	3
1328	16	7	戒烟	198	http://www.pcbaby.com.cn/qzbd/bjys/1202/1090317.html	0	0	4
1329	7	7	戒烟	196	http://www.jieyanri.com/	0	0	4
1330	7	7	戒烟	198	http://www.pcbaby.com.cn/qzbd/bjys/1202/1090317.html	0	1	2
1331	7	7	戒烟	203	http://bjcs.vivijk.com/zt/jieyan/	0	2	3
1332	7	7	戒烟	204	http://health.msn.com.cn/tag/7304.shtml	0	3	4
1333	7	7	戒烟副作用	2604	http://www.ew9z.com/jieyandefuzuoyong.html	1	0	4
1334	7	7	戒烟方法	9753	http://health.sohu.com/20090121/n261855584.shtml	2	0	3
1335	19	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	0	3
1336	19	7	戒烟 好处	8285	http://www.cndzys.com/renqun/nanxing/236443.html	1	0	4
1337	19	7	戒烟 副作用	8317	http://www.ew9z.com/jieyandefuzuoyong.html	2	0	4
1338	19	7	戒烟 方法	14867	http://www.77hh.com/fitness/jieyanfangfa/	3	0	3
1339	19	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	5	0	4
